t_s,theta_deg,phi_ref_deg
2.114,0.0518,90
2.124,0.1026,90
2.135,0.1523,90
2.144,0.2011,90
2.154,0.2489,90
2.164,0.275,90
2.174,0.2994,90
2.184,0.3233,90
2.194,0.3467,90
2.204,0.3697,90
2.214,0.3922,90
2.225,0.4142,90
2.234,0.4359,90
2.244,0.457,90
2.254,0.4778,90
2.265,0.4982,90
2.274,0.5181,90
2.284,0.5376,90
2.294,0.5568,90
2.305,0.5755,90
2.314,0.5939,90
2.324,0.6119,90
2.334,0.6296,90
2.344,0.6469,90
2.355,0.6639,90
2.364,0.6805,90
2.374,0.6968,90
2.384,0.7128,90
2.395,0.7284,90
2.404,0.7437,90
2.414,0.7588,90
2.424,0.7735,90
2.435,0.7879,90
2.444,0.8021,90
2.454,0.8159,90
2.464,0.8295,90
2.475,0.8428,90
2.484,0.8559,90
2.494,0.8686,90
2.504,0.8812,90
2.514,0.8934,90
2.525,0.9055,90
2.534,0.9173,90
2.544,0.9288,90
2.554,0.9401,90
2.565,0.9512,90
2.574,0.9621,90
2.584,0.9728,90
2.594,0.9832,90
2.605,0.9935,90
2.614,1.0035,90
2.624,1.0133,90
2.634,1.0229,90
2.644,1.0324,90
2.655,1.0416,90
2.664,1.0507,90
2.674,1.0596,90
2.684,1.0683,90
2.695,1.0768,90
2.704,1.0852,90
2.714,1.0934,90
2.724,1.1014,90
2.735,1.1093,90
2.744,1.117,90
2.754,1.1246,90
2.764,1.132,90
2.775,1.1392,90
2.784,1.1464,90
2.794,1.1533,90
2.804,1.1602,90
2.814,1.1669,90
2.825,1.1734,90
2.834,1.1799,90
2.844,1.1862,90
2.854,1.1923,90
2.865,1.1984,90
2.874,1.2043,90
2.884,1.2101,90
2.894,1.2158,90
2.905,1.2214,90
2.914,1.2269,90
2.924,1.2323,90
2.934,1.2375,90
2.945,1.2427,90
2.955,1.2477,90
2.964,1.2527,90
2.974,1.2575,90
2.984,1.2622,90
2.995,1.2865,90
3.004,1.3103,90
3.014,1.3336,90
3.024,1.3565,90
3.035,1.3789,90
3.044,1.4008,90
3.054,1.4224,90
3.064,1.4434,90
3.075,1.4641,90
3.084,1.4843,90
3.094,1.5042,90
3.104,1.5236,90
3.115,1.5427,90
3.125,1.5613,90
3.134,1.5796,90
3.144,1.5976,90
3.154,1.6152,90
3.165,1.6324,90
3.174,1.6493,90
3.184,1.6658,90
3.194,1.682,90
3.205,1.6979,90
3.214,1.7135,90
3.224,1.7287,90
3.234,1.7437,90
3.245,1.7583,90
3.254,1.7727,90
3.264,1.7868,90
3.274,1.8005,90
3.284,1.8141,90
3.295,1.8273,90
3.304,1.8403,90
3.314,1.853,90
3.324,1.8655,90
3.335,1.8777,90
3.344,1.8897,90
3.354,1.9014,90
3.364,1.9129,90
3.375,1.9242,90
3.384,1.9352,90
3.394,1.946,90
3.404,1.9566,90
3.415,1.967,90
3.425,1.9772,90
3.434,1.9872,90
3.444,1.997,90
3.454,2.0066,90
3.465,2.016,90
3.474,2.0252,90
3.484,2.0342,90
3.494,2.043,90
3.505,2.0517,90
3.514,2.0602,90
3.524,2.0685,90
3.534,2.0767,90
3.545,2.0847,90
3.554,2.0925,90
3.564,2.1002,90
3.574,2.1077,90
3.585,2.1151,90
3.595,2.1223,90
3.604,2.1294,90
3.614,2.1363,90
3.624,2.1431,90
3.635,2.1498,90
3.644,2.1563,90
3.654,2.1627,90
3.664,2.169,90
3.675,2.1751,90
3.684,2.1812,90
3.694,2.1871,90
3.704,2.1928,90
3.715,2.1985,90
3.724,2.2041,90
3.734,2.2095,90
3.744,2.2148,90
3.755,2.2201,90
3.765,2.2252,90
3.774,2.2302,90
3.784,2.2351,90
3.794,2.24,90
3.805,2.2447,90
3.814,2.2473,90
3.824,2.2499,90
3.834,2.2524,90
3.845,2.2549,90
3.854,2.2573,90
3.864,2.2597,90
3.874,2.262,90
3.885,2.2643,90
3.895,2.2665,90
3.904,2.2687,90
3.914,2.2708,90
3.924,2.2729,90
3.935,2.275,90
3.944,2.277,90
3.954,2.279,90
3.964,2.2809,90
3.975,2.2828,90
3.984,2.2846,90
3.994,2.2865,90
4.004,2.2883,90
4.015,2.29,90
4.024,2.2917,90
4.034,2.2934,90
4.044,2.295,90
4.055,2.2967,90
4.065,2.2982,90
4.074,2.2998,90
4.084,2.3013,90
4.094,2.3028,90
4.105,2.3043,90
4.114,2.3057,90
4.124,2.3071,90
4.134,2.3085,90
4.145,2.3098,90
4.154,2.3111,90
4.164,2.3124,90
4.174,2.3137,90
4.185,2.3149,90
4.195,2.3161,90
4.204,2.3173,90
4.214,2.3185,90
4.225,2.3196,90
4.235,2.3208,90
4.244,2.3219,90
