t,y
0.021,-3.012
0.041,-2.566
0.061,-2.018
0.081,-1.507
0.102,-0.408
0.121,0.665
0.141,1.65
0.161,2.041
0.181,2.71
0.2,3.214
0.22,3.763
0.24,3.052
0.259,2.6
0.28,2.476
0.3,2.293
0.32,2.912
0.34,2.785
0.361,3.001
0.38,3.062
0.401,2.862
0.421,2.933
0.441,2.6
0.461,2.653
0.482,2.522
0.501,2.257
0.522,2.181
0.542,2.026
0.561,1.784
0.58,1.685
0.6,1.515
0.621,1.319
0.64,1.229
0.661,1.131
0.681,1.006
0.701,0.96
0.721,0.94
0.742,0.897
0.761,0.902
0.782,0.936
0.802,0.93
0.822,0.942
0.842,0.961
0.863,0.954
0.882,0.939
0.902,0.942
0.923,0.94
0.942,0.926
0.963,0.93
0.983,0.923
1.003,0.911
1.023,0.911
1.044,0.908
1.063,0.893
1.083,0.893
1.103,0.884
1.124,0.876
1.143,0.866
1.164,0.859
1.184,0.853
1.204,0.841
1.224,0.832
1.244,0.827
1.263,0.819
1.283,0.824
1.304,0.816
1.323,0.803
1.344,0.801
1.364,0.8
1.384,0.792
1.404,0.788
1.425,0.78
1.444,0.78
1.465,0.776
1.485,0.771
1.505,0.767
1.525,0.764
1.546,0.757
1.565,0.753
1.585,0.745
1.605,0.739
1.624,0.731
1.645,0.723
1.665,0.715
1.685,0.711
1.704,0.712
1.725,0.709
1.744,0.707
1.764,0.708
1.784,0.698
1.805,0.7
1.824,0.699
1.845,0.693
1.865,0.693
1.884,0.688
1.904,0.684
1.924,0.68
1.944,0.674
1.964,-5.807
1.985,-11.525
2.004,-15.539
2.024,-22.131
2.044,-25.625
2.065,-30.131
2.084,-31.885
2.105,-33.86
2.125,-33.769
2.146,-33.896
2.165,-32.5
2.186,-29.833
2.206,-29.238
2.225,-25.466
2.244,-22.745
2.264,-18.459
2.285,-14.664
2.304,-9.728
2.325,-5.221
2.345,-0.222
2.365,4.253
2.385,8.5
2.406,13.364
2.425,12.596
2.445,16.288
2.465,19.538
2.486,23.314
2.505,26.226
2.525,28.609
2.545,30.288
2.565,31.051
2.585,31.553
2.605,31.408
2.626,30.843
2.645,29.587
2.665,28.467
2.685,27.04
2.706,25.116
2.725,22.728
2.746,19.541
2.766,16.185
2.786,12.583
2.805,11.374
2.826,8.608
2.846,6.061
2.865,3.277
2.885,0.328
2.905,-2.389
2.925,-5.223
2.945,-6.959
2.966,-10.161
2.985,-11.203
3.005,-13.006
3.025,-13.366
3.046,-14.285
3.065,-15.07
3.086,-15.095
3.106,-15.518
3.126,-14.529
3.145,-13.944
3.165,-12.501
3.185,-11.76
3.204,-10.377
3.224,-8.483
3.244,-6.668
3.265,-4.406
3.284,-3.114
3.305,-2.118
3.325,-0.654
3.345,0.9
3.365,2.872
3.386,4.502
3.405,6.279
3.426,7.441
3.446,8.853
3.466,9.449
3.486,10.208
3.506,10.759
3.526,11.117
3.544,11.341
3.565,11.104
3.585,10.759
3.605,10.684
3.624,9.982
3.645,9.412
3.665,8.678
3.685,7.591
3.705,6.766
3.726,5.668
3.745,4.421
3.766,2.891
3.786,2.885
3.805,2.695
3.825,2.009
3.845,1.095
3.865,0.257
3.885,-0.806
3.906,-1.419
3.925,-2.198
3.945,-3.083
3.965,-3.362
3.986,-3.74
4.005,-3.628
4.026,-3.486
4.046,-3.438
4.066,-3.153
4.086,-3.248
4.107,-2.765
4.126,-2.518
4.146,-2.405
4.166,-1.84
4.185,-1.452
4.205,-1.061
4.225,-0.425
4.246,0.086
4.265,0.523
4.286,1.302
4.306,0.699
4.326,1.415
4.346,0.873
4.367,1.223
4.386,1.263
4.407,1.371
4.427,1.882
4.447,1.773
4.467,2.174
4.487,2.222
4.506,2.394
4.526,2.515
4.547,2.288
4.566,2.039
4.586,1.696
4.606,1.809
4.627,1.701
4.646,1.564
4.667,1.55
4.687,1.452
4.707,1.293
4.727,1.254
4.748,1.183
4.767,1.061
4.788,1.014
4.808,0.978
4.827,0.901
4.848,0.88
4.868,0.877
4.888,0.852
4.907,0.859
4.928,0.88
4.948,0.866
4.968,0.881
4.988,0.89
5.009,0.867
5.028,0.862
5.049,0.858
5.069,0.851
5.089,0.85
5.109,0.856
5.13,0.859
5.149,0.855
5.169,0.86
5.189,0.852
5.208,0.852
5.229,0.863
5.249,0.862
5.269,0.863
5.288,0.873
5.309,0.871
5.329,0.866
5.349,0.875
5.369,0.886
5.39,0.886
5.409,0.885
5.43,0.885
5.45,0.886
5.469,0.889
5.489,0.885
5.509,0.89
5.529,0.891
5.549,0.894
5.57,0.903
5.589,0.902
5.61,0.906
5.63,0.906
5.65,0.911
5.67,0.918
5.691,0.912
5.71,0.912
5.731,0.915
5.751,0.914
5.771,0.906
5.791,0.906
5.812,0.903
5.831,0.905
5.851,0.907
5.872,0.909
5.891,0.906
5.912,0.907
5.932,0.907
5.952,0.902
5.972,0.903
5.993,0.903
6.012,0.9
6.033,0.901
6.053,0.898
6.073,0.9
6.093,0.899
6.114,0.895
6.133,0.889
6.152,0.887
6.172,0.884
6.192,0.879
6.212,0.879
6.232,0.867
6.253,0.873
6.272,0.866
6.293,0.868
6.313,0.866
6.333,0.863
6.353,0.869
6.374,0.877
6.393,0.865
6.414,0.857
6.434,0.853
6.454,0.866
6.474,0.865
6.495,0.863
6.514,0.863
6.533,0.866
6.554,0.877
6.574,0.881
6.594,0.887
6.614,0.886
6.635,0.885
6.654,0.945
6.675,0.793
6.695,0.851
6.715,0.974
6.734,0.899
6.755,0.885
6.775,0.93
6.795,0.874
6.815,0.927
6.836,0.88
6.855,0.908
6.875,0.929
6.896,0.887
6.915,0.894
6.936,0.909
6.956,0.887
6.976,0.883
6.996,0.905
7.017,0.889
7.036,0.886
7.057,0.903
7.077,0.887
7.097,0.883
7.116,0.884
7.137,0.878
7.156,0.873
7.175,0.882
7.195,0.876
7.214,0.87
7.234,0.881
7.254,0.872
7.275,0.869
7.294,0.875
7.315,0.875
7.335,0.88
7.355,0.88
7.375,0.878
7.396,0.877
7.415,0.879
7.435,0.882
7.455,0.878
7.476,0.873
7.495,0.88
7.515,0.877
7.535,0.877
7.554,0.872
7.575,0.875
7.595,0.871
7.615,0.877
7.635,0.882
7.656,0.88
7.675,0.883
7.696,0.887
7.716,0.888
7.736,0.883
7.756,0.884
7.777,0.884
7.796,0.878
7.816,0.882
7.836,0.881
7.855,0.878
7.875,0.88
7.895,0.91
7.915,0.557
7.934,0.91
7.955,0.719
7.975,0.761
7.995,0.868
8.015,0.736
8.036,0.751
8.055,0.807
8.076,0.741
8.096,0.749
8.116,0.814
8.136,0.775
8.156,0.779
8.175,0.812
8.194,0.777
8.215,0.771
8.235,0.801
8.255,0.781
8.275,0.779
8.296,0.807
8.315,0.798
8.336,0.788
8.356,0.804
8.376,0.8
8.396,0.792
8.417,0.802
8.436,0.803
8.455,0.791
8.475,0.794
8.495,0.795
8.515,0.791
8.535,0.8
8.556,0.801
8.575,0.798
8.596,0.805
8.616,0.806
8.636,0.801
8.655,0.807
8.676,0.812
8.696,0.816
8.716,0.813
8.736,0.815
8.757,0.817
8.776,0.823
8.796,0.828
8.816,0.83
8.835,0.839
8.856,0.841
