t,y
0.021,0.216
0.041,0.229
0.061,0.245
0.081,0.266
0.102,0.28
0.121,0.299
0.142,0.317
0.162,0.331
0.182,0.338
0.202,0.352
0.223,0.365
0.242,0.372
0.261,0.38
0.282,0.385
0.301,0.403
0.321,0.41
0.341,0.422
0.362,0.436
0.381,0.444
0.402,0.462
0.422,0.471
0.442,0.486
0.462,0.494
0.483,0.506
0.502,0.516
0.523,0.529
0.543,0.536
0.562,0.548
0.582,0.554
0.602,0.555
0.622,0.566
0.642,0.569
0.663,0.572
0.682,0.579
0.703,0.594
0.723,0.605
0.743,0.614
0.763,0.621
0.784,0.631
0.803,0.634
0.824,0.642
0.844,0.652
0.864,0.662
0.884,0.664
0.904,0.67
0.923,0.681
0.942,0.682
0.963,0.689
0.983,0.699
1.003,0.71
1.023,0.713
1.044,0.721
1.063,0.719
1.084,0.73
1.103,0.737
1.123,3.274
1.143,7.497
1.164,12.06
1.183,16.158
1.204,19.937
1.224,21.038
1.243,21.91
1.262,21.464
1.282,21.303
1.303,20.898
1.322,20.159
1.343,20.557
1.363,20.025
1.383,19.503
1.403,18.15
1.423,16.616
1.442,14.666
1.463,12.411
1.483,10.168
1.503,8.077
1.523,5.465
1.543,3.457
1.562,1.038
1.582,-0.711
1.603,-3.27
1.622,-4.76
1.642,-6.51
1.662,-8.661
1.682,-9.737
1.701,-11.252
1.722,-11.908
1.742,-12.708
1.762,-14.018
1.781,-13.608
1.802,-13.66
1.822,-13.674
1.842,-12.333
1.862,-11.66
1.881,-10.856
1.902,-9.621
1.922,-8.144
1.942,-6.608
1.962,-4.739
1.983,-4.179
2.002,-2.786
2.022,-2.278
2.042,-0.318
2.063,0.326
2.082,2.126
2.103,3.023
2.123,4.461
2.143,4.982
2.163,5.944
2.183,6.74
2.202,6.985
2.222,7.174
2.243,7.008
2.262,7.302
2.283,6.793
2.303,6.364
2.323,6.303
2.342,5.814
2.363,5.226
2.383,4.602
2.403,3.676
2.423,2.786
2.444,1.769
2.463,0.602
2.484,-0.047
2.504,-0.363
2.523,0.072
2.544,-0.731
2.564,-1.145
2.584,-2.252
2.604,-2.689
2.625,-3.497
2.644,-3.467
2.665,-4.012
2.685,-4.145
2.705,-4.183
2.724,-4.254
2.745,-4.091
2.765,-4.068
2.785,-4.232
2.805,-3.591
2.826,-3.385
2.845,-3.071
2.865,-2.513
2.885,-2.144
2.904,-1.562
2.924,-1.041
2.944,-0.529
2.965,0.097
2.984,0.58
3.005,0.217
3.025,0.173
3.045,-0.048
3.065,0.784
3.086,1.081
3.105,1.65
3.126,1.49
3.146,2.198
3.165,1.779
3.185,2.371
3.205,2.101
3.225,2.48
3.245,1.92
3.266,1.947
3.285,2.048
3.305,1.801
3.325,1.868
3.345,1.743
3.364,1.65
3.385,1.589
3.405,1.455
3.425,1.332
3.445,1.236
3.466,1.095
3.485,0.99
3.505,0.914
3.525,0.812
3.544,0.735
3.565,0.687
3.585,0.645
3.605,0.616
3.624,0.605
3.645,0.599
3.665,0.609
3.685,0.628
3.705,0.648
3.726,0.656
3.745,0.66
3.766,0.66
3.786,0.659
3.805,0.67
3.825,0.676
3.845,0.686
3.865,0.685
3.885,0.692
3.906,0.688
3.925,0.692
3.946,0.698
3.966,0.704
3.986,0.715
4.006,0.717
4.027,0.723
4.046,0.726
4.066,0.729
4.086,0.724
4.106,0.73
4.125,0.736
4.145,0.739
4.165,0.739
4.184,0.739
4.205,0.742
4.225,0.746
4.245,0.753
4.265,0.756
4.286,0.759
4.305,0.764
4.326,0.768
4.346,0.763
4.366,0.768
4.386,0.77
4.407,0.776
4.426,0.782
4.447,0.79
4.467,0.794
4.486,0.787
4.505,0.798
4.525,0.798
4.546,0.801
4.565,0.809
4.586,0.814
4.606,0.81
4.626,0.823
4.646,0.827
4.667,0.829
4.686,0.83
4.707,0.825
4.727,0.826
4.747,0.835
4.767,0.843
4.788,0.852
4.807,0.854
4.827,0.852
4.848,0.848
4.867,0.848
4.888,0.857
4.908,0.856
4.928,0.865
4.948,0.86
4.969,0.866
4.988,0.864
5.009,0.871
5.029,0.875
5.049,0.874
5.069,0.876
5.09,0.874
5.109,0.877
5.13,0.877
5.15,0.883
5.169,0.886
5.188,0.884
5.208,0.886
5.228,0.899
5.247,0.901
5.268,0.904
5.288,0.906
5.308,0.908
5.328,0.905
5.349,0.905
5.368,0.906
5.389,0.911
5.409,0.917
5.429,0.916
5.449,0.918
5.469,0.913
5.488,0.912
5.508,0.917
5.529,0.914
5.548,0.916
5.569,0.914
5.589,0.917
5.609,0.914
5.629,0.909
5.65,0.905
5.669,0.908
5.69,0.906
5.71,0.91
5.73,0.91
5.75,0.913
5.771,0.908
5.79,0.913
5.809,0.916
5.829,0.917
5.849,0.946
5.869,0.722
5.889,0.844
5.91,0.851
5.929,0.806
5.95,0.902
5.97,0.889
5.99,0.804
6.01,0.827
6.031,0.858
6.05,0.839
6.071,0.85
6.091,0.837
6.111,0.887
6.131,0.865
6.151,0.847
6.17,0.877
6.19,0.859
6.211,0.855
6.23,0.876
6.251,0.875
6.271,0.878
6.291,0.884
6.311,0.882
6.332,0.882
6.351,0.893
6.371,0.894
6.391,0.897
6.411,0.901
6.43,0.896
6.45,0.894
6.47,0.89
6.489,0.884
6.51,0.891
6.53,0.896
6.55,0.896
6.57,0.897
6.591,0.902
6.61,0.898
6.631,0.898
6.651,0.894
6.671,0.899
6.691,0.902
6.712,0.905
6.731,0.902
6.752,0.911
6.772,0.909
6.791,0.91
6.811,0.908
6.831,0.915
6.851,0.913
6.871,0.915
6.892,0.916
6.911,0.916
6.932,0.915
6.952,0.92
6.972,0.919
6.991,0.919
7.012,0.919
7.031,0.919
7.051,0.927
7.071,0.932
7.092,0.932
7.111,0.934
7.131,0.938
7.152,0.941
7.171,0.946
7.192,0.951
7.212,0.951
7.232,0.945
7.252,0.94
7.273,0.939
7.292,0.942
7.313,0.944
7.333,0.947
7.353,0.948
7.373,0.948
7.394,0.942
7.413,0.943
7.434,0.935
7.454,0.932
7.473,0.929
7.492,0.932
7.512,0.939
7.533,0.943
7.552,0.939
7.573,0.943
7.593,0.94
7.613,0.941
7.633,0.941
7.654,0.945
7.673,0.952
7.694,0.956
7.714,0.958
7.734,0.95
7.753,0.946
7.773,0.951
7.793,0.947
7.812,0.947
7.833,0.945
7.853,0.945
7.873,0.95
7.893,0.949
7.914,0.949
7.933,0.951
7.954,0.955
7.974,0.951
7.994,0.951
8.013,0.946
8.034,0.94
8.053,0.943
8.072,0.94
8.092,0.934
8.111,0.927
8.131,0.923
8.151,0.922
8.171,0.923
8.19,0.928
8.211,0.933
8.231,0.938
8.251,0.936
8.271,0.937
8.292,0.939
8.311,0.934
8.332,0.928
8.352,0.922
8.372,0.92
8.392,0.914
8.412,0.91
8.431,0.91
8.451,0.914
8.472,0.92
8.491,0.918
8.512,0.92
8.532,0.918
8.552,0.922
8.572,0.923
8.593,0.929
8.612,0.932
8.633,0.935
8.653,0.936
8.673,0.933
8.693,0.934
8.714,0.937
8.733,0.934
8.752,0.941
8.773,0.946
8.793,0.949
8.813,0.953
8.833,0.956
8.854,0.949
8.873,0.942
8.894,0.95
8.914,1.035
8.934,1.376
8.954,0.737
8.975,1.203
8.994,0.651
9.015,1.086
9.035,1.004
9.055,1.118
9.074,1.204
9.094,1.142
9.115,1.235
9.134,1.208
9.155,1.164
9.175,1.187
9.195,1.141
9.215,1.135
9.236,1.153
9.255,1.136
9.275,1.144
9.295,1.151
9.316,1.14
9.335,1.137
9.356,1.128
9.376,1.118
9.396,1.121
9.416,1.115
9.436,1.116
9.455,1.121
9.474,1.114
9.495,1.105
9.515,1.096
9.535,1.086
9.555,1.07
9.576,1.193
9.595,0.88
9.616,0.997
9.636,1.039
9.656,0.926
9.676,1.012
9.697,0.971
9.716,0.931
9.735,0.981
9.755,0.947
9.775,0.962
9.795,0.982
9.815,0.956
9.836,0.961
9.855,0.957
9.876,0.937
9.896,0.944
9.916,0.95
9.936,0.948
9.957,0.959
9.976,0.947
