t,y
0.012,112.238
0.026,112.238
0.038,112.238
0.051,112.238
0.063,112.5
0.077,112.238
0.089,112.238
0.102,112.238
0.115,112.5
0.128,112.238
0.14,112.238
0.154,112.238
0.166,112.238
0.179,112.238
0.191,112.238
0.205,112.5
0.217,112.238
0.23,112.238
0.243,112.238
0.256,112.238
0.268,112.238
0.282,112.238
0.294,112.5
0.307,112.238
0.32,112.5
0.333,112.238
0.346,112.5
0.358,112.238
0.372,112.5
0.384,112.5
0.396,112.5
0.41,112.5
0.422,112.238
0.435,112.5
0.447,112.5
0.461,112.238
0.473,112.238
0.486,112.238
0.499,112.5
0.512,112.5
0.524,112.238
0.538,112.238
0.55,112.238
0.563,112.238
0.575,112.238
0.589,112.5
0.601,112.238
0.614,112.238
0.628,112.5
0.64,112.238
0.653,112.5
0.666,112.5
0.679,112.238
0.691,112.238
0.704,112.5
0.717,112.5
0.73,112.238
0.742,112.238
0.756,112.238
0.768,112.238
0.781,112.5
0.794,112.5
0.807,112.238
0.819,112.238
0.832,112.238
0.845,112.238
0.858,112.5
0.87,112.238
0.884,112.238
0.896,112.238
0.909,112.238
0.922,112.5
0.935,112.5
0.947,112.238
0.96,112.5
0.973,112.238
0.986,112.5
0.998,112.5
1.012,112.238
1.024,112.5
1.037,112.5
1.05,112.5
1.063,112.5
1.075,112.238
1.088,112.238
1.101,112.238
1.114,112.238
1.126,112.238
1.14,112.5
1.152,112.238
1.165,112.238
1.178,112.5
1.191,112.5
1.203,112.5
1.216,112.5
1.229,112.238
1.242,112.5
1.254,112.5
1.268,112.5
1.28,112.238
1.293,112.238
1.306,112.238
1.318,112.238
1.331,112.5
1.343,112.5
1.357,112.238
1.369,112.5
1.382,112.238
1.395,112.5
1.408,112.5
1.42,112.238
1.434,112.238
1.446,112.238
1.459,112.238
1.471,112.238
1.485,112.238
1.497,112.238
1.51,112.5
1.523,112.238
1.536,112.5
1.548,112.5
1.562,112.238
1.574,112.238
1.587,112.5
1.599,112.5
1.613,112.5
1.625,112.5
1.638,112.238
1.651,112.5
1.664,112.238
1.676,112.5
1.69,112.5
1.702,112.5
1.715,112.5
1.727,112.238
1.741,112.5
1.753,112.238
1.765,112.5
1.779,112.238
1.791,112.5
1.804,112.238
1.817,112.238
1.83,112.5
1.842,112.5
1.855,112.5
1.868,112.238
1.881,112.238
1.893,112.5
1.907,112.5
1.919,112.5
1.932,112.5
1.945,112.238
1.957,112.238
1.97,112.238
1.982,112.5
1.996,112.238
2.008,112.5
2.021,112.238
2.034,112.238
2.047,112.5
2.059,112.5
2.073,112.238
2.085,112.5
2.098,112.238
2.11,112.238
2.124,112.5
2.136,112.5
2.149,112.5
2.162,112.5
2.175,112.5
2.187,112.238
2.201,112.5
2.213,112.238
2.226,112.238
2.238,112.5
2.252,112.5
2.264,112.238
2.277,112.5
2.29,112.5
2.302,112.5
2.315,112.238
2.327,112.238
2.341,112.238
2.353,112.238
2.366,112.5
2.379,112.5
2.392,112.5
2.404,112.238
2.418,112.5
2.43,112.238
2.443,112.238
2.455,112.5
2.469,112.238
2.481,112.238
2.494,112.5
2.507,112.5
2.52,112.238
2.532,112.238
2.546,112.238
2.558,112.5
2.571,112.5
2.583,112.238
2.597,112.5
2.609,112.5
2.621,112.5
2.635,112.5
2.647,112.238
2.66,112.238
2.673,112.238
2.686,112.238
2.698,112.5
2.711,112.238
2.724,112.5
2.737,112.238
2.749,112.238
2.763,112.238
2.775,112.5
2.788,112.5
2.801,112.238
2.814,112.5
2.826,112.238
2.839,112.238
2.852,112.5
2.865,112.238
2.877,112.238
2.891,112.5
2.903,112.238
2.916,112.238
2.929,112.238
2.942,112.238
2.954,112.5
2.967,112.5
2.98,112.238
2.992,112.238
3.005,112.238
3.018,112.238
3.031,112.238
3.043,112.5
3.057,112.5
3.069,112.238
3.082,112.5
3.094,112.5
3.108,112.5
3.12,112.238
3.133,112.238
3.146,112.238
3.159,112.238
3.171,112.5
3.185,112.238
3.197,112.5
3.21,112.5
3.222,112.5
3.236,112.238
3.248,112.5
3.261,112.5
3.274,112.238
3.287,112.238
3.299,112.238
3.313,112.238
3.325,112.5
3.337,112.5
3.35,112.238
3.363,112.238
3.376,112.5
3.388,112.238
3.402,112.238
3.414,112.5
3.427,112.238
3.44,112.238
3.453,112.238
3.465,112.5
3.478,112.5
3.491,112.238
3.504,112.5
3.516,112.5
3.53,112.238
3.542,112.5
3.555,112.238
3.568,112.238
3.581,112.238
3.593,112.238
3.605,112.5
3.619,112.5
3.631,112.5
3.644,112.238
3.657,112.238
3.67,112.238
3.682,112.238
3.696,112.238
3.708,112.238
3.721,112.238
3.733,112.238
3.747,112.5
3.759,112.5
3.772,112.5
3.785,112.238
3.798,112.238
3.81,112.238
3.824,112.5
3.836,112.238
3.848,112.5
3.861,112.238
3.874,112.5
3.887,112.238
3.899,112.5
3.913,112.238
3.925,112.5
3.938,112.238
3.951,112.238
3.964,112.238
3.976,112.238
3.989,112.5
4.002,112.5
4.015,112.5
4.027,112.5
4.04,112.238
4.053,112.5
4.065,112.5
4.079,112.5
4.091,112.238
4.104,112.5
4.116,112.238
4.13,112.5
4.142,112.238
4.155,112.5
4.168,112.5
4.181,112.238
4.193,112.238
4.207,112.238
4.219,112.5
4.232,112.5
4.244,112.5
4.258,112.5
4.27,112.5
4.282,112.5
4.296,112.238
4.308,112.5
4.321,112.238
4.334,112.5
4.347,112.5
4.359,112.238
4.372,112.5
4.385,112.238
4.398,112.238
4.41,112.238
4.424,112.238
4.436,112.5
4.449,112.5
4.462,112.5
4.475,112.5
4.487,112.238
4.499,112.5
4.513,112.238
4.525,112.238
4.538,112.238
4.551,112.5
4.564,112.5
4.576,112.238
4.59,112.5
4.602,112.238
4.615,112.5
4.627,112.5
4.641,112.5
4.653,112.5
