t,theta
0.011,-0.468
0.023,-0.455
0.036,-0.447
0.048,-0.437
0.059,-0.43
0.072,-0.424
0.084,-0.415
0.096,-0.407
0.107,-0.393
0.12,-0.382
0.132,-0.376
0.144,-0.371
0.156,-0.358
0.168,-0.35
0.18,-0.342
0.192,-0.33
0.204,-0.323
0.216,-0.317
0.228,-0.308
0.241,-0.299
0.252,-0.29
0.264,-0.278
0.276,-0.265
0.288,-0.256
0.3,-0.249
0.312,-0.242
0.324,-0.237
0.336,-0.223
0.348,-0.215
0.36,-0.205
0.373,-0.204
0.384,-0.2
0.396,-0.189
0.408,-0.187
0.421,-0.179
0.432,-0.179
0.444,-0.167
0.457,-0.162
0.469,-0.163
0.48,-0.158
0.492,-0.155
0.505,-0.147
0.517,-0.139
0.528,-0.132
0.541,-0.124
0.553,-0.122
0.565,-0.119
0.576,-0.116
0.589,-0.11
0.601,-0.11
0.613,-0.102
0.625,-0.099
0.637,-0.092
0.649,-0.087
0.661,-0.083
0.673,-0.086
0.685,-0.082
0.697,-0.082
0.71,-0.08
0.721,-0.079
0.733,-0.083
0.745,-0.084
0.757,-0.078
0.769,-0.077
0.781,-0.079
0.793,-0.077
0.805,-0.069
0.817,-0.07
0.829,-0.069
0.842,-0.068
0.853,-0.067
0.865,-0.064
0.877,-0.063
0.89,-0.059
0.901,-0.053
0.913,-0.053
0.926,-0.047
0.938,-0.049
0.949,-0.041
0.961,-0.041
0.974,-0.037
0.986,-0.038
0.997,-0.034
1.01,-0.034
1.022,-0.036
1.034,-0.035
1.045,-0.034
1.058,-0.032
1.07,-0.026
1.082,-0.02
1.094,-0.012
1.106,-0.011
1.118,-0.013
1.129,-0.009
1.142,-0
1.154,0.002
1.166,0.004
1.177,0.007
1.19,0.006
1.202,0.007
1.214,0.006
1.226,0.007
1.238,0.006
1.25,0.012
1.261,0.013
1.274,0.015
1.286,0.008
1.298,0.013
1.31,0.015
1.322,0.018
1.334,0.02
1.346,0.024
1.358,0.019
1.37,0.02
1.382,0.019
1.394,0.018
1.406,0.018
1.418,0.016
1.43,0.018
1.442,0.018
1.454,0.017
1.466,0.012
1.479,0.01
1.49,0.014
1.502,0.016
1.514,0.018
1.526,0.019
1.538,0.017
1.55,0.02
1.563,0.022
1.574,0.025
1.586,0.033
1.598,0.034
1.61,0.034
1.622,0.041
1.634,0.042
1.646,0.04
