t,y
0.021,-0.112
0.041,-0.097
0.061,0.019
0.08,0.434
0.101,0.48
0.121,0.5
0.141,0.449
0.161,0.334
0.182,0.282
0.201,0.316
0.221,0.298
0.241,0.295
0.26,0.353
0.28,0.359
0.3,0.356
0.321,0.389
0.34,0.383
0.361,0.362
0.381,0.378
0.401,0.387
0.42,0.388
0.441,0.412
0.461,0.418
0.481,0.448
0.501,0.424
0.522,0.454
0.541,0.475
0.561,0.46
0.581,0.484
0.6,0.504
0.62,0.497
0.64,0.51
0.661,0.521
0.68,0.512
0.701,0.511
0.721,0.53
0.741,0.532
0.76,0.535
0.781,0.542
0.801,0.55
0.821,0.541
0.841,0.545
0.861,0.562
0.88,0.563
0.899,0.565
0.92,0.631
0.94,-5.159
0.96,-10.467
0.98,-14.072
1.001,-19.72
1.021,-25.803
1.041,-29.985
1.061,-33.672
1.082,-36.833
1.102,-38.87
1.122,-39.106
1.142,-36.243
1.163,-32.98
1.183,-29.276
1.202,-24.275
1.222,-19.524
1.242,-13.547
1.263,-8.389
1.282,-3.882
1.303,2.354
1.323,6.798
1.343,11.409
1.362,15.123
1.383,18.925
1.403,21.847
1.423,24.41
1.442,26.56
1.463,28.583
1.483,29.688
1.503,30.965
1.522,31.53
1.542,32.352
1.563,32.456
1.582,32.267
1.602,32.321
1.622,31.383
1.643,30.626
1.662,29.257
1.682,27.683
1.702,25.397
1.723,23.568
1.742,20.709
1.762,18.331
1.782,15.387
1.803,12.18
1.822,9.347
1.842,6.873
1.862,5.973
1.881,3.907
1.901,3.435
1.921,2.335
1.942,1.805
1.961,0.904
1.982,0.249
2.002,-0.892
2.022,-1.521
2.041,-2.686
2.062,-3.171
2.082,-4.466
2.102,-4.593
2.122,-4.862
2.143,-4.283
2.162,-3.965
2.181,-2.93
2.202,-1.81
2.222,-0.569
2.242,0.63
2.262,1.75
2.283,2.862
2.302,3.82
2.322,4.784
2.342,6.247
2.363,5.705
2.382,6.04
2.403,5.855
2.423,6.133
2.443,5.839
2.462,6.138
2.482,6.531
2.502,6.56
2.521,7.035
2.542,7.798
2.562,7.58
2.582,7.965
2.601,7.892
2.622,7.365
2.642,7.164
2.662,6.181
2.682,5.699
2.703,4.987
2.722,4.235
2.742,4.032
2.762,3.48
2.783,3.155
2.802,2.834
2.822,2.426
2.843,2.125
2.862,1.793
2.882,2.141
2.902,2.705
2.923,3.244
2.942,3.289
2.963,3.683
2.983,3.188
3.003,2.898
3.022,2.537
3.043,2.079
3.063,1.899
3.083,1.662
3.103,1.418
3.124,1.346
3.143,1.291
3.163,1.223
3.184,1.285
3.203,1.331
3.223,1.191
3.243,1.812
3.264,1.551
3.283,1.679
3.303,1.824
3.323,1.716
3.344,1.781
3.363,1.852
3.384,1.789
3.404,1.799
3.424,1.833
3.443,1.758
3.463,1.737
3.483,1.719
3.502,1.651
3.523,1.635
3.543,1.64
3.563,1.56
3.582,1.523
3.603,1.551
3.623,1.51
3.643,1.487
3.663,1.493
3.684,1.453
3.703,1.425
3.723,1.434
3.743,1.402
3.764,1.379
3.783,1.374
3.802,1.343
3.823,1.323
3.843,1.313
3.863,1.291
3.883,1.277
3.904,1.271
3.923,1.258
3.943,1.235
3.963,1.222
3.984,1.207
4.003,1.192
4.024,1.18
4.044,1.172
4.064,1.154
4.083,1.148
4.103,1.145
4.123,1.134
4.142,1.12
4.163,1.107
4.183,1.099
4.203,1.088
4.222,1.077
4.243,1.061
4.263,1.052
4.283,1.033
4.303,1.016
4.324,1.005
4.343,0.991
4.363,0.978
4.383,0.967
4.404,0.961
4.423,0.947
4.443,0.937
4.464,0.93
4.483,0.921
4.503,0.917
4.523,0.909
4.544,0.894
4.563,0.89
4.584,0.892
4.604,0.885
4.624,0.881
4.644,0.877
4.665,0.867
4.684,0.864
4.705,0.858
4.725,0.848
4.744,0.844
4.763,0.831
4.783,0.819
4.804,0.768
4.823,0.926
4.844,0.943
4.864,1.017
4.884,1.028
4.903,0.977
4.924,1.04
4.944,1.017
4.964,0.961
4.984,0.993
5.005,0.995
5.024,0.938
5.045,0.966
5.065,0.988
5.084,0.927
5.103,0.951
5.123,0.945
5.144,0.901
5.163,0.909
5.184,0.923
5.204,0.898
5.224,0.891
5.243,0.918
5.264,0.907
5.284,0.914
5.304,1.028
5.324,0.986
5.345,0.989
5.364,1.005
5.383,1.013
5.403,0.997
5.423,0.994
5.443,0.986
5.463,0.98
5.484,0.972
5.503,1.011
5.523,1.037
5.543,1.107
5.564,1.13
5.583,1.121
5.604,1.097
5.624,1.089
5.644,1.076
5.663,1.068
5.684,1.075
5.704,1.043
5.723,1.079
5.744,1.123
5.764,1.188
5.784,1.139
5.803,1.148
5.824,1.116
5.844,1.097
5.864,1.118
5.884,1.106
5.905,1.072
5.925,1.064
5.945,1.072
5.965,1.052
5.986,1.043
6.005,1.027
6.026,1.004
6.046,0.995
6.065,1.002
6.084,0.979
6.104,0.974
6.125,0.967
6.144,0.958
6.165,0.951
6.185,0.947
6.205,0.933
6.224,0.927
6.245,0.929
6.265,0.918
6.285,0.905
6.305,0.898
6.326,0.9
6.345,0.896
6.364,0.883
6.384,0.871
6.404,0.862
6.424,0.859
6.444,0.855
6.465,0.843
6.484,0.827
6.504,0.82
6.524,0.819
6.545,0.824
6.564,0.817
6.585,0.807
6.605,0.809
6.625,0.804
6.644,0.796
6.664,0.793
6.684,0.786
6.703,0.779
6.724,0.767
6.744,0.765
6.764,0.762
6.783,0.762
6.804,0.763
6.824,0.755
6.844,0.747
6.864,0.741
6.885,0.74
6.904,0.74
6.924,0.737
6.944,0.733
6.965,0.73
6.984,0.737
7.004,0.726
7.024,0.716
7.043,0.719
7.063,0.71
7.083,0.704
7.104,0.703
7.123,0.696
7.144,0.696
7.164,0.696
7.184,0.69
7.204,0.69
7.225,0.682
7.244,0.673
7.264,0.674
7.284,0.673
7.304,0.672
7.323,0.667
7.343,0.666
7.364,0.662
7.383,0.654
7.403,0.656
7.423,0.649
7.444,0.642
7.463,0.639
7.484,0.635
7.504,0.635
7.524,0.631
7.543,0.631
7.564,0.63
7.584,0.632
7.604,0.63
7.624,0.623
7.644,0.627
7.663,0.636
7.682,0.636
7.703,0.629
7.723,0.626
7.743,0.621
7.763,0.614
7.784,0.615
7.803,0.614
7.823,0.614
7.843,0.617
7.864,0.617
7.883,0.625
7.904,0.624
7.924,0.622
7.943,0.62
7.962,0.614
7.982,0.609
8.003,0.613
8.022,0.603
8.043,0.598
8.063,0.597
8.083,0.596
8.102,0.602
8.123,0.594
8.143,0.586
8.163,0.588
8.183,0.591
8.204,0.58
8.223,0.587
8.242,0.584
8.262,0.577
8.282,0.574
8.302,0.579
8.322,0.581
8.343,0.578
8.362,0.584
8.382,0.58
8.402,0.578
8.423,0.581
8.442,0.583
8.463,0.578
8.483,0.58
8.503,0.579
8.523,0.581
8.544,0.586
8.563,0.575
8.582,0.566
8.603,0.56
8.623,0.556
8.643,0.549
8.663,0.544
8.684,0.541
8.703,0.54
8.723,0.547
8.743,0.544
8.764,0.547
8.783,0.554
8.804,0.554
8.824,0.551
8.844,0.544
8.864,0.535
8.885,0.519
8.904,0.507
8.923,0.504
8.944,0.511
8.964,0.513
8.984,0.506
9.004,0.496
9.025,0.493
9.044,0.481
9.065,0.488
9.085,0.495
9.105,0.487
9.125,0.482
9.146,0.486
9.165,0.491
9.185,0.487
9.205,0.491
9.226,0.497
9.245,0.495
9.265,0.503
9.285,0.497
9.304,0.491
9.324,0.493
9.344,0.494
9.365,0.494
9.384,0.481
9.405,0.472
9.425,0.473
9.445,0.478
9.465,0.475
