t,y
0.021,-0.068
0.041,-0.137
0.061,0.581
0.081,0.274
0.102,0.332
0.121,0.279
0.142,0.071
0.161,0.226
0.181,0.083
0.201,0.098
0.22,0.177
0.24,0.105
0.26,0.182
0.28,0.226
0.3,0.194
0.321,0.248
0.34,0.241
0.361,0.228
0.38,0.266
0.4,0.266
0.42,0.276
0.44,0.308
0.46,0.285
0.481,0.304
0.5,0.315
0.52,0.312
0.54,0.333
0.559,0.35
0.58,0.353
0.6,0.373
0.62,0.383
0.64,0.386
0.66,0.399
0.679,0.405
0.7,0.416
0.719,0.429
0.74,0.442
0.76,0.448
0.78,0.464
0.8,0.471
0.82,0.478
0.839,0.49
0.859,0.498
0.879,0.509
0.899,0.515
0.92,0.521
0.939,0.526
0.96,0.534
0.979,0.538
1,0.544
1.02,0.559
1.04,0.567
1.06,0.572
1.081,0.587
1.1,0.592
1.121,0.593
1.141,0.601
1.16,0.605
1.18,0.611
1.2,0.615
1.22,0.621
1.24,0.633
1.26,0.629
1.28,5.079
1.301,8.607
1.32,13.592
1.341,18.784
1.361,22.532
1.381,25.463
1.4,27.157
1.421,28.584
1.44,29.137
1.46,28.829
1.48,27.365
1.5,26.952
1.519,26.369
1.539,24.525
1.56,22.546
1.579,19.996
1.6,17.214
1.62,14.586
1.64,11.676
1.66,8.351
1.681,4.71
1.7,1.377
1.721,-2.549
1.741,-5.278
1.761,-8.609
1.781,-11.27
1.802,-13.987
1.821,-16.14
1.841,-18.604
1.861,-20.345
1.88,-21.789
1.9,-22.64
1.92,-23.581
1.941,-23.508
1.96,-23.5
1.981,-23.361
2.001,-22.211
2.021,-21.048
2.041,-19.296
2.062,-17.337
2.081,-14.97
2.102,-12.141
2.122,-10.653
2.141,-8.882
2.16,-7.592
2.18,-4.852
2.2,-2.875
2.219,-0.002
2.24,2.06
2.259,4.58
2.28,6.273
2.3,7.86
2.32,8.88
2.34,9.99
2.361,10.634
2.38,11.321
2.401,11.874
2.421,11.858
2.44,12.082
2.46,11.376
2.48,10.962
2.5,10.159
2.519,9.478
2.54,8.028
2.559,6.792
2.579,5.191
2.599,3.125
2.619,3.114
2.638,2.61
2.659,0.171
2.678,-0.509
2.699,-2.964
2.719,-3.802
2.738,-5.41
2.758,-6.123
2.778,-7.261
2.798,-7.523
2.818,-8.415
2.839,-8.46
2.858,-8.955
2.879,-8.931
2.899,-9.257
2.919,-8.544
2.939,-8.376
2.96,-7.83
2.979,-7.201
3,-6.58
3.02,-5.569
3.04,-4.683
3.06,-3.556
3.08,-2.339
3.099,-1.301
3.119,-1.438
