t,y
0.021,0.584
0.041,0.555
0.061,0.777
0.08,0.548
0.101,0.598
0.121,0.669
0.141,0.598
0.161,0.659
0.182,0.737
0.201,0.698
0.221,0.717
0.241,0.735
0.26,0.702
0.28,0.729
0.3,0.759
0.321,0.746
0.34,0.769
0.361,0.795
0.381,0.788
0.401,0.794
0.42,0.802
0.441,0.807
0.461,0.816
0.481,0.828
0.501,0.843
0.522,0.859
0.541,0.866
0.561,0.875
0.581,0.877
0.601,0.893
0.621,4.834
0.641,10.516
0.662,15.222
0.681,19.707
0.701,23.323
0.721,26.659
0.742,27.369
0.761,28.062
0.781,26.647
0.801,25.855
0.822,24.124
0.841,21.94
0.861,19.633
0.881,18.651
0.901,16.697
0.921,15.651
0.941,14.047
0.962,12.886
0.982,11.486
1.002,8.72
1.022,6.501
1.043,3.544
1.062,1.109
1.083,-1.43
1.103,-3.723
1.123,-5.792
1.142,-6.825
1.163,-8.758
1.183,-9.824
1.202,-11.069
1.221,-11.526
1.241,-12.256
1.262,-12.294
1.281,-12.59
1.301,-12.396
1.321,-11.892
1.342,-11.363
1.362,-10.7
1.382,-9.54
1.402,-8.319
1.423,-6.754
1.442,-5.449
1.462,-3.785
1.482,-2.11
1.503,0.027
1.522,-0.118
1.542,1.063
1.563,1.434
1.582,2.697
1.603,3.056
1.623,4.664
1.643,4.984
1.662,5.792
1.683,6.311
1.703,6.928
1.723,7.295
1.743,7.278
1.764,7.402
1.783,7.047
1.803,6.931
1.823,6.344
1.844,5.896
1.863,5.321
1.883,4.765
1.904,4.121
1.923,3.409
1.943,2.64
1.963,1.814
1.984,0.954
2.003,0.127
2.024,-0.102
2.044,0.042
2.064,0.332
2.084,-0.027
2.105,-0.114
2.124,-0.872
2.144,-1.194
2.164,-1.758
2.184,-2.214
2.203,-2.051
2.222,-2.29
2.243,-1.931
2.263,-2.014
2.283,-1.925
2.303,-1.813
2.324,-1.627
2.343,-1.38
2.364,-1.233
2.384,-0.916
2.404,-0.606
2.423,-0.378
2.444,-0.044
2.464,0.28
2.484,0.586
2.504,0.874
2.524,1.14
2.543,1.32
2.562,1.545
2.583,1.718
2.603,1.795
2.623,1.896
2.643,1.892
2.664,1.903
2.683,1.092
2.703,0.743
2.723,-0.299
2.744,-0.177
2.763,-0.4
2.784,0.001
2.804,-0.092
2.823,0.05
2.843,0.142
2.863,0.097
2.883,0.306
2.902,0.196
2.923,0.275
2.943,0.328
2.963,0.258
2.983,0.316
3.004,0.325
3.023,0.305
3.043,0.362
3.063,0.371
3.084,0.372
3.103,0.397
3.124,0.392
3.144,0.399
3.163,0.42
3.184,0.436
3.204,0.449
3.224,0.473
3.243,0.473
3.264,0.482
3.284,0.49
3.304,0.495
3.324,0.504
3.345,0.508
3.364,0.509
3.385,0.516
3.405,0.529
3.425,0.538
3.444,0.548
3.464,0.553
3.484,0.563
3.503,0.572
3.524,0.585
3.544,0.598
3.564,0.609
3.583,0.619
3.604,0.628
3.624,0.637
3.644,0.641
3.664,0.642
3.685,0.652
3.704,0.658
3.725,0.667
3.745,0.675
3.765,0.676
3.784,0.683
3.804,0.681
3.824,0.689
3.843,0.699
3.864,0.709
3.884,0.721
3.904,0.734
3.923,0.742
3.944,0.742
3.964,0.745
3.984,0.748
4.004,0.751
4.025,0.757
4.044,0.767
4.064,0.773
4.084,0.783
4.104,0.779
4.123,0.784
4.143,0.788
4.164,0.799
4.183,0.798
4.204,0.804
4.224,0.811
4.244,0.815
4.263,0.815
4.284,0.82
4.304,0.822
4.324,0.824
4.344,0.828
4.365,0.833
4.384,0.838
4.404,0.85
4.424,0.858
4.444,0.858
4.463,0.865
4.483,0.868
4.504,0.87
